Suburb,Rooms,Type,Price,Method,Postcode,Propertycount,Distance,CouncilArea
Abbotsford,3,h,1490000,S,3067,4019,3,Yarra City Council
Abbotsford,3,h,1220000,S,3067,4019,3,Yarra City Council
Abbotsford,3,h,1420000,S,3067,4019,3,Yarra City Council
Aberfeldie,3,h,1515000,S,3040,1543,7.5,Moonee Valley City Council
Airport West,2,h,670000,S,3042,3464,10.4,Moonee Valley City Council
Airport West,2,t,530000,S,3042,3464,10.4,Moonee Valley City Council
Airport West,2,u,540000,S,3042,3464,10.4,Moonee Valley City Council
Airport West,3,h,715000,SP,3042,3464,10.4,Moonee Valley City Council
Albanvale,6,h,,PI,3021,1899,14,Brimbank City Council
Albert Park,3,h,1925000,S,3206,3280,3,Port Phillip City Council
Albion,3,u,515000,S,3020,2185,10.5,Brimbank City Council
Albion,4,h,717000,S,3020,2185,10.5,Brimbank City Council
Alphington,2,h,1675000,S,3078,2211,5.7,Darebin City Council
Alphington,4,h,2008000,S,3078,2211,5.7,Darebin City Council
Altona,2,h,860000,SP,3018,5301,11,Hobsons Bay City Council
Altona Meadows,4,h,,SN,3028,7630,15.5,Hobsons Bay City Council
Altona North,3,h,720000,S,3025,5132,9.4,Hobsons Bay City Council
Armadale,2,u,836000,S,3143,4836,6.3,Stonnington City Council
Armadale,2,h,2110000,S,3143,4836,6.3,Stonnington City Council
Armadale,3,h,1386000,S,3143,4836,6.3,Stonnington City Council
Armadale,2,u,580000,VB,3143,4836,6.3,Stonnington City Council
Armadale,1,u,355000,S,3143,4836,6.3,Stonnington City Council
Ascot Vale,3,h,1123100,S,3032,6567,4.3,Moonee Valley City Council
Ashburton,3,u,1270000,S,3147,3052,10.2,Boroondara City Council
Ashburton,4,h,,S,3147,3052,10.2,Boroondara City Council
Ashburton,3,t,1610000,S,3147,3052,10.2,Boroondara City Council
Ashwood,4,h,1435000,S,3147,2894,10.2,Monash City Council
Aspendale,4,h,1431000,S,3195,2824,21.5,Kingston City Council
Aspendale Gardens,4,h,996000,S,3195,2243,21.5,Kingston City Council
Attwood,4,h,,SN,3049,1130,16.5,Hume City Council
Avondale Heights,4,h,825000,SP,3034,4502,9.5,Moonee Valley City Council
Balwyn,2,u,660800,SP,3103,5682,7.9,Boroondara City Council
Balwyn,2,t,700000,PI,3103,5682,7.9,Boroondara City Council
Balwyn,5,h,2700000,PI,3103,5682,7.9,Boroondara City Council
Balwyn,3,h,2035000,PI,3103,5682,7.9,Boroondara City Council
Balwyn,3,u,955000,S,3103,5682,7.9,Boroondara City Council
