Rooms,Price,Postcode,Propertycount,Distance
3,1490000,3067,4019,3
3,1220000,3067,4019,3
3,1420000,3067,4019,3
3,1515000,3040,1543,7.5
2,670000,3042,3464,10.4
2,530000,3042,3464,10.4
2,540000,3042,3464,10.4
3,715000,3042,3464,10.4
6,,3021,1899,14
3,1925000,3206,3280,3
3,515000,3020,2185,10.5
4,717000,3020,2185,10.5
2,1675000,3078,2211,5.7
4,2008000,3078,2211,5.7
2,860000,3018,5301,11
4,,3028,7630,15.5
3,720000,3025,5132,9.4
2,836000,3143,4836,6.3
2,2110000,3143,4836,6.3
3,1386000,3143,4836,6.3
2,580000,3143,4836,6.3
1,355000,3143,4836,6.3
3,1123100,3032,6567,4.3
3,1270000,3147,3052,10.2
4,,3147,3052,10.2
3,1610000,3147,3052,10.2
4,1435000,3147,2894,10.2
4,1431000,3195,2824,21.5
4,996000,3195,2243,21.5
4,,3049,1130,16.5
4,825000,3034,4502,9.5
2,660800,3103,5682,7.9
2,700000,3103,5682,7.9
5,2700000,3103,5682,7.9
3,2035000,3103,5682,7.9
3,955000,3103,5682,7.9
4,1810000,3103,5682,7.9
4,1850000,3104,7809,9.7
3,,3104,7809,9.7
4,2600000,3104,7809,9.7
3,1220000,3104,7809,9.7
4,2470000,3104,7809,9.7
4,,3104,7809,9.7
2,800000,3104,7809,9.7
4,880000,3153,3598,23.2
4,1285000,3193,5366,17.3
2,835000,3193,5366,17.3
4,1445000,3193,5366,17.3
2,,3193,5366,17.3
4,1435000,3193,5366,17.3
3,675000,3081,790,8.8
4,1300000,3204,6795,11.4
4,1500000,3204,6795,11.4
3,1340000,3204,6795,11.4
2,,3204,6795,11.4
3,1400000,3165,10969,13.8
2,,3165,10969,13.8
2,775000,3165,10969,13.8
3,920000,3165,10969,13.8
2,1220000,3165,10969,13.8
2,1130000,3165,10969,13.8
4,1460000,3165,10969,13.8
3,,3193,2866,17.3
4,3000000,3193,2866,17.3
4,1200000,3130,5713,13.4
4,1410000,3130,5713,13.4
3,1110000,3130,5713,13.4
4,960000,3130,2867,13.4
5,1090000,3130,2867,13.4
3,980000,3130,4387,13.4
3,,3130,4387,13.4
4,1925000,3130,4387,13.4
3,710000,3130,4387,13.4
4,985000,3196,2887,27
4,,3155,9704,25
2,420000,3128,4605,10.9
3,500500,3019,3589,8.6
2,490000,3019,3589,8.6
2,500000,3019,3589,8.6
3,,3186,10579,10.5
4,,3186,10579,10.5
3,,3186,10579,10.5
4,2250000,3186,10579,10.5
4,,3186,10579,10.5
2,,3187,6938,10.3
4,,3187,6938,10.3
4,,3187,6938,10.3
3,1958000,3187,6938,10.3
4,2137000,3187,6938,10.3
4,,3187,6938,10.3
4,2975000,3187,6938,10.3
4,,3047,4294,14
3,457000,3047,4294,14
3,,3056,11918,5.2
2,740000,3056,11918,5.2
3,,3056,11918,5.2
3,900000,3056,11918,5.2
4,1250000,3056,11918,5.2
4,,3056,11918,5.2
2,1225000,3056,11918,5.2
3,1120000,3056,11918,5.2
2,560000,3056,11918,5.2
